entity_id,entity_name,entity_type,jurisdiction,incorporation_date,parent_entity_id,ownership_pct,registered_address,board_members,board_mandate_expiry,annual_filing_due,annual_filing_status,registered_agent,status,asset_class,asset_description
FGI-001,Fjord Global Investments AS,AS,Norway,2014-03-11,,100.0,"Svendsenhøgda 2, Oslo","Anthony Humphrey, Shane Henderson",2027-02-07,2026-07-03,Pending,Simonsen Corporate Advisory AS,Active,Holding,Intermediate holding company
FGI-002,FGI Europe Holdings B.V.,B.V.,Netherlands,2015-06-02,FGI-001,100.0,"Laralaan 32, Rotterdam","Tricia Valencia, Elizabeth Fowler, Noah Rhodes",2026-06-03,2027-01-23,Filed,Goyaerts van Waderle Corporate Advisory B.V.,Active,Holding,Intermediate holding company
FGI-003,FGI Solar Wind Holdings Ltd,Ltd,United Kingdom,2022-11-15,FGI-002,100.0,"4 Francis Dam, London","Magnus Fjellström, Derek Zuniga, Anthony Rodriguez, Paula Moreno, Mark Perez",2027-02-22,2026-10-15,Filed,Newman Trust Ltd,Dissolved,Renewable Energy,400MW onshore wind farm
FGI-004,FGI Dublin Mixed-Use III Ltd,Ltd,Ireland,2024-01-13,FGI-002,60.0,"43 Dwane Street, Dublin","Mark Perez, Eric Carney, Daniel Wagner, Dylan Miller",2026-10-16,2026-03-22,Overdue,Tormey Governance Partners Ltd,Active,Real Estate,"Hotel portfolio, Cork"
FGI-005,FGI Fjord Solar Holdings B.V.,B.V.,Netherlands,2017-12-31,FGI-002,100.0,"Bastiaanbaan 3, Rotterdam","Shane Henderson, Cassandra Gaines, Stephanie Ross, Richard Aguirre",2026-06-19,2027-01-09,Pending,Osterhoudt Corporate Advisory B.V.,Active,Renewable Energy,150MW onshore wind farm
FGI-006,FGI Zurich Office III AG,AG,Switzerland,2012-02-08,FGI-002,100.0,"Weberstrasse 33, Geneva","Magnus Fjellström, Jeffrey Chavez, Michael Lewis, Allison Hill, Anthony Humphrey",2028-01-02,2027-01-23,Pending,Walter Treuhand AG,Active,Real Estate,"Mixed-Use portfolio, Geneva"
FGI-007,FGI Fjord Wind Holdings GmbH,GmbH,Germany,2021-01-16,FGI-002,100.0,"Jolanta-Höfig-Platz 2218, Frankfurt","Michael Lewis, Paula Moreno",2027-08-09,2026-04-11,Overdue,Schäfer Management GmbH,Active,Renewable Energy,300MW solar park
FGI-008,FGI Northern Grid Holdings ApS,ApS,Denmark,2012-06-06,FGI-002,100.0,"Tårnblæserstræde 232, Copenhagen","Brian Ramirez, Timothy Duncan",2026-08-24,2026-06-30,Filed,Paulsen Corporate Advisory ApS,In liquidation,Renewable Energy,400MW solar park
FGI-009,FGI Frankfurt Logistics VIII GmbH,GmbH,Germany,2019-11-26,FGI-002,50.0,"Ansgar-Davids-Platz 9890, Frankfurt","Magnus Fjellström, Judy Baker, Sherry Decker, Fred Smith, Tommy Walter",2027-01-28,2026-09-13,Unknown,Gumprich Fiduciaire GmbH,Active,Real Estate,"Logistics portfolio, Hamburg"
FGI-010,FGI Solar Grid Holdings ApS,ApS,Denmark,2014-07-24,FGI-002,60.0,"Badensgade 933, Copenhagen","Cristian Santos, Tricia Valencia, Brian Ramirez, Derek Zuniga",2028-04-25,2026-07-27,Filed,Nilsson Treuhand ApS,Active,Renewable Energy,"100MW offshore wind farm (JV: co-owned, see board updates)"
FGI-011,FGI Malmö Residential IV AB,AB,Sweden,2011-12-20,FGI-002,51.0,"Backvägen 321, Gothenburg","Justin Baker, Anthony Rodriguez, Michael Lewis, John Pierce, Daniel Wagner",2026-07-04,2026-02-07,Overdue,Moberg Treuhand AB,Active,Real Estate,"Residential portfolio, Malmö"
FGI-012,FGI Frankfurt Logistics IV GmbH,GmbH,Germany,2025-05-02,FGI-019,30.0,"Tom-Schacht-Ring 2, Berlin","Danny Morgan, Michael Lewis, Shannon Jones, Jeffrey Chavez, Abigail Shaffer",2027-07-08,2026-08-31,Filed,Thanel Corporate Services GmbH,Active,Real Estate,"Logistics portfolio, Hamburg"
FGI-013,FGI Copenhagen Residential VIII ApS,ApS,Denmark,2011-02-04,FGI-002,100.0,"Toldbodvej 9, Copenhagen","Magnus Fjellström, Holly Wood, John Daniel, Jessica Holmes, Anthony Rodriguez",2026-07-01,2027-01-12,Filed,Skov Fiduciaire ApS,Active,Holding,Intermediate holding company
FGI-014,FGI Madrid Retail II S.L.,S.L.,Spain,2019-12-01,FGI-007,100.0,"Calle de Alcalá 120, Madrid","Tricia Valencia, Connie Lawrence",2027-03-19,2026-07-22,Pending,Svendsen Governance Partners ApS,Active,Renewable Energy,250MW hydro plant
FGI-015,FGI Madrid Retail II S.L.,S.L.,Spain,2010-07-11,FGI-002,100.0,"Calle de Alcalá 120, Madrid","John Daniel, Holly Wood, Michele Williams, Sherry Decker",2028-01-26,2026-07-11,Pending,Hubert Treuhand S.A.,Active,Real Estate,"Mixed-Use portfolio, Marseille"
FGI-016,FGI Cork Office I Ltd,Ltd,Ireland,2017-11-17,FGI-013,100.0,"00 Hastings Street, Cork","John Daniel, Ethan Adams, Timothy Duncan",2026-08-12,2027-04-05,Filed,Roland Corporate Services Ltd,Active,Real Estate,"Mixed-Use portfolio, Dublin"
FGI-017,FGI Barcelona Mixed-Use I S.L.,S.L.,Spain,2012-07-16,FGI-002,100.0,"Callejón Jose Ignacio Godoy 91, Barcelona","Magnus Fjellström, Timothy Duncan, Abigail Shaffer",2027-03-04,2027-03-31,Pending,Bonet Treuhand S.L.,In liquidation,Real Estate,"Logistics portfolio, Madrid"
FGI-018,FGI Copenhagen Hotel V ApS,ApS,Denmark,2015-04-28,FGI-002,100.0,"Vatnastræde 216, Copenhagen","Patty Perez, Eric Carney",2026-06-23,2026-10-27,Pending,Jepsen Trust ApS,Dormant,Real Estate,"Retail portfolio, Aarhus"
FGI-019,FGI London Office II Ltd,Ltd,United Kingdom,2018-11-29,FGI-012,100.0,"600 Charlie Fort, Leeds","Stephanie Ross, Gabrielle Davis, Angie Henderson",2027-11-11,2026-09-05,Unknown,Lowe Management Ltd,Active,Real Estate,"Mixed-Use portfolio, Manchester"
FGI-020,FGI Dublin Hotel II Ltd,Ltd,Ireland,2009-11-23,FGI-002,100.0,"86 Nulty Street, Dublin","Michael Lewis, Monica Herrera, Danny Morgan",2027-06-22,2027-04-03,Filed,Banks Governance Partners Ltd,Dissolved,Holding,Intermediate holding company
FGI-021,FGI Lyon Hotel IV S.A.,S.A.,France,2009-07-23,FGI-013,100.0,"9, boulevard Briand, Lyon","Magnus Fjellström, Lisa Hensley, Crystal Robinson, Brent Jordan",2027-05-28,2026-08-15,Filed,David Fiduciaire S.A.,Dormant,Holding,Intermediate holding company
FGI-022,FGI Cork Retail V Ltd,Ltd,Ireland,2014-02-08,FGI-002,100.0,"54 Harmon Street, Cork","Gina Moore, Timothy Duncan",2027-04-26,2026-04-08,Overdue,Davin Management Ltd,Active,Real Estate,"Hotel portfolio, Cork"
FGI-023,FGI Fjord Storage Holdings S.A.,S.A.,France,2014-12-15,FGI-022,100.0,"rue Rey, Lyon","Philip Cannon, Stephanie Ross",2026-08-28,2027-03-09,Pending,Bodin Corporate Services S.A.,Active,Renewable Energy,250MW onshore wind farm
FGI-024,FGI Copenhagen Retail VII ApS,ApS,Denmark,2021-01-28,FGI-002,60.0,"Øresundsgade 8, Copenhagen","Tricia Valencia, Carla Gray, Sherry Decker, Justin Baker",2028-01-30,2026-12-07,Filed,Mathiesen Management ApS,Active,Holding,Intermediate holding company
FGI-025,FGI Americas Holdings LLC,LLC,USA (Delaware),2016-01-20,FGI-001,100.0,"43321 Brittany Bypass, Dover","Joshua Blair, Danny Morgan",2027-07-05,2027-03-27,Filed,Johnson Trust LLC,Active,Holding,Intermediate holding company
FGI-026,FGI Meadow Solar Holdings Inc.,Inc.,Canada,2021-06-08,FGI-025,100.0,"43321 Brittany Bypass, Vancouver","Stephanie Ross, Jessica Holmes, Cassandra Gaines",2026-07-18,2026-11-22,Pending,Johnson Corporate Advisory Inc.,Active,Renewable Energy,50MW solar park
